Date, Open , High , Low , Close , Adj Close , Volume 
12/6/1991," 1,106.50 "," 1,106.50 "," 1,106.50 "," 1,106.50 "," 1,106.22 ", -   
12/9/1991," 1,118.14 "," 1,118.14 "," 1,118.14 "," 1,118.14 "," 1,117.85 ", -   
12/10/1991," 1,152.49 "," 1,152.49 "," 1,152.49 "," 1,152.49 "," 1,152.19 ", -   
12/11/1991," 1,136.65 "," 1,136.65 "," 1,136.65 "," 1,136.65 "," 1,136.36 ", -   
12/12/1991," 1,132.06 "," 1,132.06 "," 1,132.06 "," 1,132.06 "," 1,131.77 ", -   
12/13/1991," 1,133.85 "," 1,133.85 "," 1,133.85 "," 1,133.85 "," 1,133.56 ", -   
12/16/1991," 1,121.80 "," 1,121.80 "," 1,121.80 "," 1,121.80 "," 1,121.51 ", -   
12/17/1991," 1,120.19 "," 1,120.19 "," 1,120.19 "," 1,120.19 "," 1,119.90 ", -   
12/18/1991," 1,123.99 "," 1,123.99 "," 1,123.99 "," 1,123.99 "," 1,123.70 ", -   
12/19/1991," 1,120.62 "," 1,120.62 "," 1,120.62 "," 1,120.62 "," 1,120.33 ", -   
12/20/1991," 1,124.66 "," 1,124.66 "," 1,124.66 "," 1,124.66 "," 1,124.37 ", -   
12/23/1991," 1,122.37 "," 1,122.37 "," 1,122.37 "," 1,122.37 "," 1,122.08 ", -   
12/24/1991," 1,129.87 "," 1,129.87 "," 1,129.87 "," 1,129.87 "," 1,129.58 ", -   
12/25/1991, null , null , null , null , null , null 
12/26/1991," 1,144.30 "," 1,144.30 "," 1,144.30 "," 1,144.30 "," 1,144.01 ", -   
12/27/1991," 1,154.26 "," 1,154.26 "," 1,154.26 "," 1,154.26 "," 1,153.96 ", -   
12/30/1991, null , null , null , null , null , null 
12/31/1991, null , null , null , null , null , null 
1/1/1992, null , null , null , null , null , null 
1/2/1992," 1,177.10 "," 1,177.10 "," 1,177.10 "," 1,177.10 "," 1,176.80 ", -   
1/3/1992," 1,224.98 "," 1,224.98 "," 1,224.98 "," 1,224.98 "," 1,224.67 ", -   
1/6/1992," 1,233.77 "," 1,233.77 "," 1,233.77 "," 1,233.77 "," 1,233.45 ", -   
1/7/1992," 1,243.86 "," 1,243.86 "," 1,243.86 "," 1,243.86 "," 1,243.54 ", -   
1/8/1992," 1,237.25 "," 1,237.25 "," 1,237.25 "," 1,237.25 "," 1,236.93 ", -   
